datetime,open,high,low,close,volume
2025-06-21 00:00:00+00:00,103309.8359375,103361.625,103165.953125,103266.765625,0
2025-06-21 01:00:00+00:00,103263.2265625,103529.2734375,103184.5390625,103514.109375,0
2025-06-21 02:00:00+00:00,103538.234375,103566.4609375,103402.2734375,103508.875,0
2025-06-21 03:00:00+00:00,103508.4921875,103704.5703125,103508.4921875,103554.390625,0
2025-06-21 04:00:00+00:00,103542.7734375,103545.921875,103369.8359375,103417.359375,0
2025-06-21 05:00:00+00:00,103408.84375,103508.71875,103374.5390625,103439.5078125,0
2025-06-21 06:00:00+00:00,103444.4765625,103624.296875,103375.5546875,103624.296875,0
2025-06-21 07:00:00+00:00,103592.5625,103592.5625,103410.2265625,103471.6484375,0
2025-06-21 08:00:00+00:00,103475.8046875,103790.890625,103475.8046875,103790.890625,0
2025-06-21 09:00:00+00:00,103829.8515625,103944.3203125,103723.5390625,103872.875,815575040
2025-06-21 10:00:00+00:00,103866.1484375,104001.203125,103827.1796875,103852.0390625,0
2025-06-21 11:00:00+00:00,103859.7890625,103939.421875,103782.34375,103895.7578125,0
2025-06-21 12:00:00+00:00,103897.203125,103972.4140625,103826.59375,103826.7265625,0
2025-06-21 13:00:00+00:00,103825.8125,103893.625,103591.8203125,103594.0703125,0
2025-06-21 14:00:00+00:00,103592.6875,103773.078125,103429.140625,103528.0390625,0
2025-06-21 15:00:00+00:00,103535.546875,103705.9921875,103428.7734375,103602.328125,0
2025-06-21 16:00:00+00:00,103605.90625,103670.2421875,103511.7265625,103571.5234375,0
2025-06-21 17:00:00+00:00,103527.4140625,103592.8984375,103218.0546875,103218.0546875,0
2025-06-21 18:00:00+00:00,103210.4765625,103423.875,102703.7578125,102703.7578125,0
2025-06-21 19:00:00+00:00,102689.171875,102742.3828125,102276.6484375,102276.6484375,1613066240
2025-06-21 20:00:00+00:00,102283.765625,102879.7109375,102264.1171875,102852.40625,19210240
2025-06-21 21:00:00+00:00,102821.234375,102843.640625,101327.15625,101570.125,2735327232
2025-06-21 22:00:00+00:00,101485.5234375,102016.9609375,101485.5234375,101821.953125,666673152
2025-06-21 23:00:00+00:00,101819.828125,102282.40625,101053.640625,102282.40625,699318272
2025-06-22 00:00:00+00:00,102160.7734375,103256.46875,101934.21875,102907.671875,4120223744
2025-06-22 01:00:00+00:00,102858.5,103011.25,102281.8125,102409.4609375,844529664
2025-06-22 02:00:00+00:00,102421.453125,102768.484375,101980.59375,102459.1171875,842944512
2025-06-22 03:00:00+00:00,102425.8125,102560.2734375,102190.0859375,102403.3046875,1127161856
2025-06-22 04:00:00+00:00,102406.953125,102751.9140625,102328.0078125,102675.6875,85196800
2025-06-22 05:00:00+00:00,102623.9765625,102942.9921875,102623.9765625,102880.3984375,1099354112
2025-06-22 06:00:00+00:00,102892.8671875,102980.15625,102746.671875,102751.3828125,0
2025-06-22 07:00:00+00:00,102768.9140625,102782.515625,102312.390625,102490.8828125,1165348864
2025-06-22 08:00:00+00:00,102473.1328125,102726.9296875,102379.7109375,102726.9296875,247795712
2025-06-22 09:00:00+00:00,102733.1328125,102819.9453125,102172.171875,102205.046875,0
2025-06-22 10:00:00+00:00,102223.2578125,102560.078125,102214.75,102520.109375,1023811584
2025-06-22 11:00:00+00:00,102508.359375,102781.7578125,102508.359375,102781.7578125,747180032
2025-06-22 12:00:00+00:00,102750.765625,102842.265625,102627.9140625,102766.828125,328826880
2025-06-22 13:00:00+00:00,102780.296875,102825.6953125,100379.234375,100866.9765625,3949682688
2025-06-22 14:00:00+00:00,100893.703125,101148.5,99258.2578125,99529.5078125,4766257152
2025-06-22 15:00:00+00:00,99655.4921875,99803.28125,99182.046875,99182.046875,2578022400
2025-06-22 16:00:00+00:00,98947.078125,99549.6484375,98723.6328125,99408.8125,3787067392
2025-06-22 17:00:00+00:00,99690.1640625,100305.4609375,99497.0625,99566.6796875,934981632
2025-06-22 18:00:00+00:00,99521.890625,99774.0234375,99396.953125,99488.3359375,909586432
2025-06-22 19:00:00+00:00,99461.4375,99467.1953125,98914.84375,98914.84375,0
2025-06-22 20:00:00+00:00,98939.1171875,99740.65625,98386.765625,99740.65625,1399017472
2025-06-22 21:00:00+00:00,99559.1171875,99657.1328125,99119.125,99235.078125,0
2025-06-22 22:00:00+00:00,99187.0078125,100956.484375,99187.0078125,100956.484375,117817344
2025-06-22 23:00:00+00:00,101001.625,101028.953125,100735.1796875,100952.453125,1304907776
2025-06-23 00:00:00+00:00,100891.1171875,101539.4453125,100555.9140625,101042.84375,0
2025-06-23 01:00:00+00:00,100960.8203125,101130.34375,100631.640625,101130.34375,0
2025-06-23 02:00:00+00:00,101133.8203125,101408.890625,101019.125,101353.34375,203980800
2025-06-23 03:00:00+00:00,101345.359375,101364.8515625,101124.359375,101157.53125,0
2025-06-23 04:00:00+00:00,101189.1953125,101358.3828125,101045.375,101188.46875,0
2025-06-23 05:00:00+00:00,101214.203125,101841.09375,101214.203125,101841.09375,0
2025-06-23 06:00:00+00:00,101808.3046875,102009.671875,101712.828125,101976.609375,791060480
2025-06-23 07:00:00+00:00,101978.515625,102064.9609375,101833.125,101967.265625,890101760
2025-06-23 08:00:00+00:00,101962.71875,102063.7265625,101789.9453125,101925.3984375,0
2025-06-23 09:00:00+00:00,101920.8671875,101920.8671875,101447.4765625,101610.2890625,0
2025-06-23 10:00:00+00:00,101596.765625,101596.765625,101240.2265625,101536.203125,82984960
2025-06-23 11:00:00+00:00,101509.109375,101585.234375,101210.75,101354.234375,355401728
