datetime,open,high,low,price,volume_24h,price_shift_1,price_shift_2,return_1h,return_2h,volume_norm,future_price,label
2025-06-21 02:00:00+00:00,103538.234375,103566.4609375,103402.2734375,103508.875,0,103514.109375,103266.765625,-5.05667781098078e-05,0.0023951921850462236,-0.5786071782303612,103554.390625,1
2025-06-21 03:00:00+00:00,103508.4921875,103704.5703125,103508.4921875,103554.390625,0,103508.875,103514.109375,0.00043972678671273357,-5.05667781098078e-05,-0.5786071782303612,103417.359375,0
2025-06-21 04:00:00+00:00,103542.7734375,103545.921875,103369.8359375,103417.359375,0,103554.390625,103508.875,-0.0013232780297672676,0.00043972678671273357,-0.5786071782303612,103439.5078125,1
2025-06-21 05:00:00+00:00,103408.84375,103508.71875,103374.5390625,103439.5078125,0,103417.359375,103554.390625,0.00021416556788776545,-0.0013232780297672676,-0.5786071782303612,103624.296875,1
2025-06-21 06:00:00+00:00,103444.4765625,103624.296875,103375.5546875,103624.296875,0,103439.5078125,103417.359375,0.001786445686061834,0.00021416556788776545,-0.5786071782303612,103471.6484375,0
2025-06-21 07:00:00+00:00,103592.5625,103592.5625,103410.2265625,103471.6484375,0,103624.296875,103439.5078125,-0.001473095037586956,0.001786445686061834,-0.5786071782303612,103790.890625,1
2025-06-21 08:00:00+00:00,103475.8046875,103790.890625,103475.8046875,103790.890625,0,103471.6484375,103624.296875,0.0030853107331408943,-0.001473095037586956,-0.5786071782303612,103872.875,1
2025-06-21 09:00:00+00:00,103829.8515625,103944.3203125,103723.5390625,103872.875,815575040,103790.890625,103471.6484375,0.0007898995230343703,0.0030853107331408943,0.2611529648093729,103852.0390625,0
2025-06-21 10:00:00+00:00,103866.1484375,104001.203125,103827.1796875,103852.0390625,0,103872.875,103790.890625,-0.00020059074614041443,0.0007898995230343703,-0.5786071782303612,103895.7578125,1
2025-06-21 11:00:00+00:00,103859.7890625,103939.421875,103782.34375,103895.7578125,0,103852.0390625,103872.875,0.000420971512881796,-0.00020059074614041443,-0.5786071782303612,103826.7265625,0
