timestamp,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d
2025-06-18T03:35:57+00:00,105176.870981402,52576046897.366,0.1550216,-2.22097401,-4.20010259
2025-06-18T04:00:05+00:00,105189.990855316,52608714974.7845,0.22585266,-2.26610374,-4.14267952
2025-06-18T04:35:53+00:00,105273.443925336,53467469065.5924,0.09181956,-2.04573788,-4.03945474
2025-06-18T05:00:05+00:00,105455.441021477,53264323439.5006,0.25235307,-1.77954223,-3.77214856
2025-06-18T18:46:04+00:00,104503.823363859,48742113911.1959,0.285951,0.41963557,-3.98118378
2025-06-18T18:51:27+00:00,104431.050581039,48747640254.172,0.21500721,0.28384668,-4.03824757
2025-06-18T19:00:05+00:00,103684.195307249,47723224886.7263,-0.63641693,-0.71069563,-4.7422635
2025-06-18T19:35:50+00:00,104024.166170464,47765712130.8646,-0.5595226,-0.96867754,-4.32357536
2025-06-18T19:51:28+00:00,104116.783253176,47846116118.0671,-0.30093284,-1.04953043,-4.22772923
2025-06-18T20:00:06+00:00,103935.150325618,46875936792.7008,0.24203787,-0.85284082,-4.40513329
2025-06-19T02:10:16+00:00,104730.79177175,47552423731.503,0.18356054,-0.08389338,-3.62683268
2025-06-19T06:08:49+00:00,104963.320646295,48341326810.5939,-0.21772892,-0.42801496,-2.55450774
2025-06-19T06:35:50+00:00,104742.617346432,46373990319.2386,-0.32277746,-0.53892628,-2.92297352
2025-06-19T16:53:39+00:00,104082.792327165,40482911055.2902,-0.22419393,-0.47033573,-3.21545854
2025-06-19T17:00:09+00:00,103962.420748508,40590195188.8893,-0.18821101,-0.53077129,-3.47732609
2025-06-19T18:00:05+00:00,104550.850156583,40577951588.2101,0.56600203,0.19412365,-3.47177542
2025-06-19T19:00:05+00:00,104368.091732478,39780007343.1005,-0.17480338,0.65959563,-2.97808604
2025-06-19T20:00:11+00:00,104317.658073835,37317086865.0223,-0.04832287,0.3680254,-2.33892437
2025-06-19T21:00:09+00:00,104285.050861243,37567633381.863,-0.03125762,-0.54450019,-1.62310573
2025-06-19T22:00:08+00:00,104322.033400486,36919287355.2379,0.03546293,-0.64503852,-1.53064104
2025-06-19T23:00:08+00:00,104641.883297664,36916735834.1619,0.3065986,-0.1971643,-1.21814846
2025-06-20T00:00:07+00:00,104681.03304316428,37333806919.53356,0.03741307,-0.19615558,-0.99207252
2025-06-20T01:00:07+00:00,104723.1339036566,36911089510.4352,0.04021823,-0.25448955,0.82158856
2025-06-20T02:00:12+00:00,104797.3740496622,35799414380.50848,0.07089183,0.16174734,0.94164925
2025-06-20T03:00:06+00:00,104633.94712696408,36605311758.26442,-0.15594563,-0.14562102,0.88238808
2025-06-20T04:00:04+00:00,104643.5557038112,36539670697.55729,0.00918304,-0.46586189,0.2567046
2025-06-20T05:00:08+00:00,104276.16700711324,35417042710.510155,-0.35108583,-0.78107564,-0.1934468
2025-06-20T06:00:05+00:00,104592.64007469636,35304370930.03059,0.30349511,-0.32488865,0.48866165
2025-06-20T07:00:07+00:00,104742.0895062457,36244555963.86425,0.14288714,-3.818e-05,0.01449352
2025-06-20T17:08:43+00:00,103583.9577942658,44019150090.218704,-0.50960589,-0.42190245,-1.82356493
2025-06-20T18:14:32+00:00,103262.70993142088,47538276405.257935,-0.27725989,-1.32592731,-1.75942384
2025-06-20T18:08:24+00:00,103123.87887937063,47141873650.50527,-0.46165135,-1.44497297,-1.96471849
2025-06-20T19:00:09+00:00,103252.89457441072,49176559635.44812,0.0493989,-1.06852309,-1.82562582
2025-06-20T21:19:25+00:00,103539.55818432369,49615119930.12543,-0.18295295,-0.7683368,-1.77167642
2025-06-20T22:00:09+00:00,103579.4544551018,50761910380.61458,-0.12885833,-0.6887527,-1.98396691
2025-06-20T22:20:32+00:00,103269.59521829124,49774693646.78014,-0.28169375,-1.25665538,-2.32137646
2025-06-20T22:42:17+00:00,103172.30272476315,50779449507.451866,-0.37281965,-1.47481213,-2.31650641
2025-06-20T23:00:07+00:00,103118.6686808772,50960644295.71832,-0.43011179,-1.45564526,-2.53391611
2025-06-21T00:00:06+00:00,103315.08063801938,50951862476.1813,0.19047177,-1.30487096,-2.6334978
2025-06-21T01:00:06+00:00,103266.7668932082,50919355277.794044,-0.0467635,-1.39068318,-2.41827222
2025-06-21T15:05:34+00:00,103685.31167842298,41895834307.708855,0.09463627,-0.52729589,-1.24215772
2025-06-21T15:32:11+00:00,103428.77673628592,39600764174.63909,-0.00034938,-0.8625002,-1.42446033
2025-06-21T16:02:32+00:00,103605.90831719582,40693685266.00873,0.0679617,-0.596875,-1.16321523
2025-06-21T16:14:25+00:00,103577.49028670668,41291319096.22868,-0.04937858,-0.60309194,-1.17134014
2025-06-21T17:00:06+00:00,103570.74220913496,40139004007.013214,-0.05242562,-0.26077512,-0.88394024
2025-06-21T17:10:04+00:00,103551.49274553434,39647935560.82529,-0.00752108,-0.00673992,-1.08352586
2025-06-21T18:00:06+00:00,103252.52184043858,36157425598.818985,-0.30724929,0.13108942,-1.3422677
2025-06-21T21:33:26+00:00,101377.33803525298,34535070166.92364,-1.11611625,-2.08509418,-3.6219084
2025-06-21T22:00:06+00:00,101604.40283889696,36042250080.57591,-1.23961203,-1.90679863,-3.64241694
2025-06-21T22:08:36+00:00,101698.0604629186,37133098056.61975,-0.92909231,-1.61434724,-3.61215213
2025-06-21T23:00:13+00:00,101821.95106356648,37659405946.094055,0.24793113,-1.25750035,-3.44469336
2025-06-22T17:08:41+00:00,99807.97572673256,64203229455.72629,0.55591203,-3.6208305,-5.45445822
2025-06-22T17:14:25+00:00,100305.46165634174,63615305591.29585,1.31641027,-3.11957983,-4.97148579
2025-06-22T18:00:48+00:00,99521.88972118509,64575123582.4538,-0.16880121,-3.57385245,-5.85443413
2025-06-22T18:14:17+00:00,99544.89961232222,65410548377.6341,-0.75824589,-3.72429949,-5.72722396
2025-06-22T19:00:06+00:00,99488.33526496192,65470779149.72825,-0.07868268,-3.13077644,-5.71756565
2025-06-22T19:14:21+00:00,99251.79316543952,65307861153.52455,-0.29444647,-3.23127966,-5.97935505
2025-06-22T20:00:05+00:00,98951.32679684876,64977767086.028046,-0.59163101,-3.27161133,-6.02913572
2025-06-22T20:14:17+00:00,98386.76359845811,64009588657.01416,-0.87155057,-3.97885055,-6.4370174
2025-06-22T21:00:06+00:00,99740.65503946628,66194043655.7502,0.79769344,-3.05119155,-4.74096831
2025-06-22T21:14:17+00:00,99426.41171817468,67217505206.74719,1.05669511,-3.05408596,-4.89102829
2025-06-22T22:00:06+00:00,99235.0811967578,64316499984.513695,-0.50688843,-2.33190844,-5.29920079
2025-06-22T22:14:21+00:00,100495.62334273498,64723756165.68582,1.07537988,-1.35418127,-4.3885096
2025-06-22T23:00:08+00:00,100956.48582826435,64434318774.39362,1.77472793,-0.84997903,-4.10715081
2025-06-22T23:14:18+00:00,100813.23970626232,66819223187.263466,0.31604995,-0.86323376,-4.2529017
2025-06-23T00:00:10+00:00,100952.45476820268,65739229020.2347,0.0668725,-1.30027268,-4.36086617
2025-06-23T00:14:17+00:00,100643.62171520224,64803064582.58604,-0.16824972,-1.29770936,-4.62479602
2025-06-23T01:00:06+00:00,101042.8410554853,64067226673.216034,0.05482655,-1.81213717,-4.18023857
2025-06-23T01:14:20+00:00,100860.21417562437,64165741881.90525,0.21520734,-1.95704215,-4.06969867
2025-06-23T02:00:05+00:00,101130.3409750659,62708624958.00598,0.08659685,-1.24902789,-4.45040611
2025-06-23T02:14:17+00:00,101131.29538744992,63535668451.88136,0.26876922,-1.21048702,-4.49783311
2025-06-23T03:00:04+00:00,101353.34379394248,62912607073.714615,0.2205103,-1.0792356,-4.21763789
